Hash;Geschlecht;Nachname;Vorname;Strasse;PLZ;Ort;Land;Email;TEL_P;Home-Page;Portraet;;;;;;;;;;;
1;Familie;Annen;Zita;Aapark 20a;8852;Altendorf;CH;zita.annen@gmail.ch;053 442 20 96;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
4;Frau;Annen;Zentralsekretariat;Aapark 22 B;8852;Altendorf;CH;zentralsekretariat.annen@gmail.ch;054 442 20 96;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
5;Familie;Arndgen;Yvonne;Aapark 22a;8853;Lachen;CH;yvonne.arndgen@gmail.ch;055 442 20 96;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
6;Familie;Arndgen;Willi;Aapark 22a;8853;Lachen;CH;willi.arndgen@gmail.ch;055 442 20 96;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
7;Frau;Arndgen;Werner;Aapark 22a;8853;Lachen;CH;werner.arndgen@gmail.ch;055 442 20 96;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
8;Herr;Arndgen;Werner;Aapark 22a;8853;Lachen;CH;werner.arndgen@gmail.ch;055 442 20 96;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
9;Herr;Arndgen;Werner;Aapark 22a;8853;Lachen;CH;werner.arndgen@gmail.ch;055 442 20 96;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
10;Herr;Autenrieth;Walter;Aastrasse 13;8852;Altendorf;CH;walter.autenrieth@gmail.ch;055 442 16 56;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
11;Frau;Barnert;Walter;Aastrasse 8;8854;Siebnen;CH;walter.barnert@gmail.ch;055 440 50 33;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
14;Herr;Betschart;Walter;Adlerstrasse 10;6410;Goldau;CH;walter.betschart@gmail.ch;041 855 53 24;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
15;Herr;Bieri;Walter;Adlerwiese 8;8854;Siebnen;CH;walter.bieri@gmail.ch;055 440 46 62;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
17;Herr;Bockmuehl;Walter;Aeussere Bahnhofstrasse 30e;8853;Lachen;CH;walter.bockmuehl@gmail.ch;055 442 44 72;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
