Hash;Geschlecht;Nachname;Vorname;Strasse;PLZ;Ort;Land;Email;TEL_P
94;Familie;Hollenstein;Ruth;Buobental 3;8853;Lachen;CH;ruth.hollenstein@gmail.ch;055 442 87 42
93;Familie;Hollenstein;Ruedi;Churerestrasse 14;8853;Lachen;CH;ruedi.hollenstein@gmail.ch;055 442 07 60
97;Frau;Janser;Ruedi;Churerstrasse 101;8853;Lachen;CH;ruedi.janser@gmail.ch;055 280 30 22
98;Frau;Juengling;Ruedi;Churerstrasse 21;53175;Bonn;DE;ruedi.juengling@gmail.ch
100;Herr;King;Rosmarie;Churerstrasse 37;78713;Schramberg ;DE;rosmarie.king@gmail.ch;0049 74 22  52 597
102;Frau;Koch;Roman;Churerstrasse 64;8808;Pfaeffikon;CH;roman.koch@gmail.ch;055 420 20 53
105;Frau;Koller;Rolf;Dorfplatz 9;8854;Siebnen;CH;rolf.koller@gmail.ch;055 440 39 56
106;Frau;Koepfli;Roland;Dorfstrasse 40;8045;Zuerich;CH;roland.koepfli@gmail.ch;044 463 37 53
109;Herr;Krieg;Roes;Ebenau 4;8853;Lachen;CH;roes.krieg@gmail.ch;055 442 80 32
110;Frau;Krieg;Rita;Eichwisstrasse 31;8853;Lachen;CH;rita.krieg@gmail.ch;055 442 80 32
112;Familie;Krieg;Rita;Eisenburgstrasse 40;8853;Lachen;CH;rita.krieg@gmail.ch;055 442 80 32
113;Frau;Krieger;Richi;Engelhofstrasse 19;8853;Lachen;CH;richi.krieger@gmail.ch;055 442 91 70
116;Herr;Kussberger;Richard;Engelplatz 12;78713;Schramberg ;DE;richard.kussberger@gmail.ch;0049  7422 3872
117;Frau;Kuettel;Riccardo;Etzelstrasse 1;8832;Wollerau;CH;riccardo.kuettel@gmail.ch;044 784 10 73
118;Frau;Laib;Ren�;Etzelstrasse 80;8855;Nuolen;CH;ren�.laib@gmail.ch;055 440 32 92
120;Frau;Landolt;Ren�;Etzelstrasse 80;8807;Freienbach;CH;ren�.landolt@gmail.ch;055 410 19 49
121;Herr;Lang;Reinhard;Eulenweg 24;8853;Lachen;CH;reinhard.lang@gmail.ch;055 442 91 70
122;Frau;Laeubli;Raphael;Feldmoostrasse 5;8808;Pfaeffikon;CH;raphael.laeubli@gmail.ch;055 410 31 38
126;Frau;Lurati;Ramona;Feldstrasse 11;8634;Hombrechtikon;CH;ramona.lurati@gmail.ch;055 534 09 67
129;Frau;Maechler;Ramon;Feldstrasse 11;8853;Lachen;CH;ramon.maechler@gmail.ch;055 442 17 58
131;Frau;Maechler;Pius;Feldstrasse 16;8854;Siebnen;CH;pius.maechler@gmail.ch;055 440 23 74
128;Frau;Maechler-Diethelm;Pirmin;Feldstrasse 16;8863;Buttikon;CH;pirmin.maechler-diethelm@gmail.ch;055 440 33 70
132;Frau;Maeder;Pia;Feldstrasse 17c;8807;Freienbach;CH;pia.maeder@gmail.ch;055 410 21 40
133;Herr;Mannhart;Pia;Feldstrasse 19;8708;Maennedorf;CH;pia.mannhart@gmail.ch;044 790 22 00
134;Familie;Mannhart;Pia;Felsenstrasse 20;8708;Maennedorf;CH;pia.mannhart@gmail.ch;044 790 22 00
135;Herr;Gestorben Marty;Philippe;Fluelastrasse 31a;8853;Lachen;CH;philippe.gestorben marty@gmail.ch;055 442 16 29
137;Herr;Marty;Peter;Foehnloch 5;8852;Altendorf;CH;peter.marty@gmail.ch;055 442 30 14
